Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,24.25,24.25,23.209999,23.440001,197100,23.440001
2016-12-29,24.41,24.944,23.860001,24.27,112400,24.27
2016-12-28,24.90,24.93,24.309999,24.389999,240900,24.389999
2016-12-27,24.950001,25.450001,24.629999,24.719999,249000,24.719999
2016-12-23,24.73,25.10,24.34,24.82,200200,24.82
2016-12-22,24.780001,25.450001,24.33,24.84,193300,24.84
2016-12-21,24.49,24.959999,24.23,24.74,148600,24.74
2016-12-20,25.17,25.200001,24.24,24.42,219700,24.42
2016-12-19,24.75,25.52,24.75,24.959999,321500,24.959999
2016-12-16,24.59,24.85,24.030001,24.68,482300,24.68
2016-12-15,23.82,24.450001,23.809999,24.40,332000,24.40
2016-12-14,24.299999,24.450001,23.379999,23.77,299500,23.77
2016-12-13,23.860001,24.719999,23.73,24.290001,215600,24.290001
2016-12-12,24.700001,24.940001,23.73,24.129999,259700,24.129999
2016-12-09,25.58,26.26,24.23,24.74,581400,24.74
2016-12-08,24.50,25.33,24.398001,24.90,358900,24.90
2016-12-07,23.65,24.549999,23.629999,24.389999,551000,24.389999
2016-12-06,23.93,23.93,22.92,23.40,279100,23.40
2016-12-05,23.27,24.00,23.139999,23.90,422800,23.90
2016-12-02,23.40,23.74,22.903999,23.27,456200,23.27
2016-12-01,24.790001,25.110001,23.209999,23.395,373800,23.395
2016-11-30,25.18,25.624001,24.639999,24.77,285400,24.77
2016-11-29,25.07,25.41,24.950001,25.040001,301400,25.040001
2016-11-28,25.299999,25.57,24.92,25.139999,218900,25.139999
2016-11-25,25.139999,25.50,25.059999,25.469999,153500,25.469999
2016-11-23,25.85,25.85,24.85,25.15,559400,25.15
2016-11-22,26.200001,26.43,24.85,26.00,1506900,26.00
2016-11-21,26.90,27.280001,25.540001,26.209999,301500,26.209999
2016-11-18,26.129999,26.870001,25.90,26.629999,378600,26.629999
2016-11-17,25.98,26.15,25.360001,26.15,532300,26.15
2016-11-16,25.299999,26.09,24.700001,26.08,635000,26.08
2016-11-15,24.139999,25.27,24.030001,24.700001,443200,24.700001
2016-11-14,25.219999,25.50,24.469999,24.60,543800,24.60
2016-11-11,23.25,25.200001,23.25,24.969999,704500,24.969999
2016-11-10,23.620001,24.066,22.73,23.58,474900,23.58
2016-11-09,22.00,23.780001,21.66,23.549999,443000,23.549999
2016-11-08,23.18,23.370001,22.01,22.76,706500,22.76
2016-11-07,22.25,23.67,22.054001,23.50,883700,23.50
2016-11-04,23.299999,23.299999,20.629999,21.65,1533500,21.65
2016-11-03,20.50,21.01,19.716999,20.85,491000,20.85
2016-11-02,19.51,21.10,19.205,20.10,612200,20.10
2016-11-01,19.25,19.860001,18.85,19.15,249200,19.15
2016-10-31,19.50,20.01,19.15,19.23,332000,19.23
2016-10-28,19.799999,20.370001,19.549999,19.690001,156400,19.690001
2016-10-27,21.629999,21.889999,19.91,19.99,347000,19.99
2016-10-26,21.25,21.868999,20.975,21.389999,131100,21.389999
2016-10-25,21.52,21.613001,20.83,21.15,142700,21.15
2016-10-24,20.719999,21.610001,20.662001,21.59,216200,21.59
2016-10-21,20.629999,20.709999,20.219999,20.565001,181100,20.565001
2016-10-20,20.129999,21.030001,20.129999,20.75,194500,20.75
2016-10-19,20.01,20.33,19.98,20.295,241400,20.295
2016-10-18,20.10,20.360001,19.813999,20.049999,443600,20.049999
2016-10-17,20.25,20.337999,20.00,20.030001,143800,20.030001
2016-10-14,20.40,21.219999,20.17,20.290001,207100,20.290001
2016-10-13,21.200001,21.200001,19.83,20.16,501800,20.16
2016-10-12,22.00,22.062,20.57,21.43,348100,21.43
2016-10-11,23.08,23.200001,21.82,22.040001,358500,22.040001
2016-10-10,23.040001,23.35,22.93,23.15,198600,23.15
2016-10-07,23.049999,23.10,22.620001,22.719999,162800,22.719999
2016-10-06,23.02,23.40,22.91,23.049999,317200,23.049999
2016-10-05,22.059999,24.18,21.785999,23.26,763200,23.26
2016-10-04,21.58,22.030001,21.264999,21.629999,262200,21.629999
2016-10-03,22.00,22.08,21.129999,21.440001,282400,21.440001
2016-09-30,20.77,22.40,20.77,22.209999,636400,22.209999
2016-09-29,21.219999,21.32,20.90,20.959999,187900,20.959999
2016-09-28,21.35,21.620001,20.959999,21.219999,397300,21.219999
2016-09-27,21.040001,21.49,21.040001,21.309999,242400,21.309999
2016-09-26,21.110001,21.60,20.85,21.01,409300,21.01
2016-09-23,20.76,21.540001,20.700001,21.139999,427800,21.139999
2016-09-22,22.00,22.469999,20.629999,20.84,757900,20.84
2016-09-21,21.32,21.809999,21.200001,21.76,507600,21.76
2016-09-20,22.10,22.18,20.65,21.26,631300,21.26
2016-09-19,21.809999,22.299999,21.66,22.030001,421300,22.030001
2016-09-16,21.41,21.75,20.91,21.700001,449200,21.700001
2016-09-15,21.639999,22.32,21.309999,21.65,589000,21.65
2016-09-14,20.23,21.719999,20.049999,21.60,893200,21.60
2016-09-13,20.07,20.459999,19.67,20.299999,394800,20.299999
2016-09-12,19.309999,20.629999,18.700001,20.42,808800,20.42
2016-09-09,20.10,20.530001,19.57,19.629999,627700,19.629999
2016-09-08,20.40,20.40,19.639999,20.02,537300,20.02
2016-09-07,21.15,21.18,19.58,19.85,1721200,19.85
2016-09-06,17.389999,17.639999,17.040001,17.41,215600,17.41
2016-09-02,17.360001,17.85,17.17,17.51,352100,17.51
2016-09-01,16.940001,17.450001,16.639999,17.139999,259900,17.139999
2016-08-31,17.059999,17.25,16.67,16.85,367900,16.85
2016-08-30,15.93,17.08,15.93,16.99,274800,16.99
2016-08-29,16.469999,17.17,16.09,16.85,643100,16.85
2016-08-26,16.00,16.42,15.59,16.370001,609500,16.370001
2016-08-25,15.35,16.43,14.66,16.110001,1753100,16.110001
2016-08-24,13.97,14.228,13.86,13.88,142500,13.88
2016-08-23,13.82,14.19,13.74,14.02,176000,14.02
2016-08-22,13.66,13.68,13.342,13.64,100800,13.64
2016-08-19,13.33,13.82,13.08,13.74,285600,13.74
2016-08-18,13.17,13.437,13.06,13.34,447600,13.34
2016-08-17,13.97,13.97,13.27,13.31,241900,13.31
2016-08-16,14.02,14.18,13.92,14.00,264300,14.00
2016-08-15,14.05,14.18,13.85,14.03,240200,14.03
2016-08-12,13.58,14.05,13.43,14.01,493800,14.01
2016-08-11,13.74,13.82,13.47,13.55,372000,13.55
2016-08-10,14.09,14.09,13.46,13.60,297000,13.60
2016-08-09,14.25,14.41,13.93,13.97,402200,13.97
2016-08-08,14.79,14.94,14.20,14.29,339200,14.29
