Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,9.84,9.84,9.84,9.84,000,9.84
2016-12-29,9.84,9.84,9.84,9.84,000,9.84
2016-12-28,9.84,9.84,9.84,9.84,000,9.84
2016-12-27,9.84,9.84,9.84,9.84,000,9.84
2016-12-23,9.84,9.84,9.84,9.84,000,9.84
2016-12-22,9.84,9.84,9.84,9.84,000,9.84
2016-12-21,9.46,9.84,9.46,9.84,1700,9.84
2016-12-20,11.66,11.66,10.78,10.78,200,10.78
2016-12-19,9.72,9.72,9.72,9.72,700,9.72
2016-12-16,7.60,7.60,7.60,7.60,000,7.60
2016-12-15,7.60,7.60,7.60,7.60,000,7.60
2016-12-14,7.60,7.60,7.60,7.60,000,7.60
2016-12-13,7.60,7.60,7.60,7.60,000,7.60
2016-12-12,7.60,7.60,7.60,7.60,000,7.60
2016-12-09,7.60,7.60,7.60,7.60,300,7.60
2016-12-08,9.90,9.90,9.90,9.90,000,9.90
2016-12-07,9.90,9.90,9.90,9.90,000,9.90
2016-12-06,9.90,9.90,9.90,9.90,000,9.90
2016-12-05,9.90,9.90,9.90,9.90,000,9.90
2016-12-02,9.90,9.90,9.90,9.90,000,9.90
2016-12-01,9.90,9.90,9.90,9.90,000,9.90
2016-11-30,9.91,9.91,9.90,9.90,200,9.90
2016-11-29,9.80,9.80,9.80,9.80,000,9.80
2016-11-28,9.65,9.80,9.65,9.80,1400,9.80
2016-11-25,10.01,10.01,10.01,10.01,000,10.01
2016-11-23,10.01,10.01,10.01,10.01,000,10.01
2016-11-22,10.01,10.01,10.01,10.01,000,10.01
2016-11-21,10.01,10.01,10.01,10.01,000,10.01
2016-11-18,10.01,10.01,10.01,10.01,000,10.01
2016-11-17,10.01,10.01,10.01,10.01,000,10.01
2016-11-16,10.01,10.01,10.01,10.01,000,10.01
2016-11-15,10.01,10.01,10.01,10.01,000,10.01
2016-11-14,10.01,10.01,10.01,10.01,000,10.01
2016-11-11,10.01,10.01,10.01,10.01,000,10.01
2016-11-10,10.01,10.01,10.01,10.01,000,10.01
2016-11-09,10.01,10.01,10.01,10.01,100,10.01
2016-11-08,9.659,9.659,9.659,9.659,100,9.659
2016-11-07,10.40,10.40,10.40,10.40,100,10.40
2016-11-04,10.50,10.50,10.50,10.50,500,10.50
2016-11-03,12.25,12.25,11.50,11.50,700,11.50
2016-11-02,10.30,10.30,10.30,10.30,000,10.30
2016-11-01,10.30,10.30,10.30,10.30,000,10.30
