Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.88,1.91,1.71,1.73,4300,6.92
2014-12-30,1.70,1.91,1.66,1.91,4200,7.64
2014-12-29,1.68,1.70,1.64,1.70,4100,6.80
2014-12-26,1.64,1.74,1.62,1.70,1900,6.80
2014-12-24,1.86,1.86,1.81,1.81,6300,7.24
2014-12-23,1.92,1.94,1.85,1.88,2200,7.52
2014-12-22,1.95,1.95,1.84,1.84,200,7.36
2014-12-19,1.85,1.88,1.82,1.88,1600,7.52
2014-12-18,1.90,1.90,1.85,1.85,3000,7.40
2014-12-17,1.99,1.99,1.80,1.80,2000,7.20
2014-12-16,1.86,2.00,1.86,1.87,900,7.48
2014-12-15,1.86,1.88,1.86,1.88,200,7.52
2014-12-12,1.95,1.95,1.78,1.78,8100,7.12
2014-12-11,1.96,2.00,1.95,2.00,3500,8.00
2014-12-10,1.99,2.01,1.96,2.00,3800,8.00
2014-12-09,2.02,2.02,2.02,2.02,1600,8.08
2014-12-08,2.03,2.07,2.02,2.02,1500,8.08
2014-12-05,2.05,2.06,2.03,2.04,1600,8.16
2014-12-04,2.05,2.05,2.03,2.05,2700,8.20
2014-12-03,2.09,2.09,2.03,2.03,700,8.12
2014-12-02,2.02,2.07,2.02,2.07,5000,8.28
2014-12-01,2.03,2.08,2.01,2.02,1300,8.08
2014-11-28,2.01,2.02,2.01,2.01,100,8.04
2014-11-26,2.05,2.07,1.88,2.00,3800,8.00
2014-11-25,2.24,2.25,2.05,2.08,13100,8.32
2014-11-24,2.26,2.28,2.18,2.20,6200,8.80
2014-11-21,2.27,2.27,2.18,2.26,10700,9.04
2014-11-20,2.28,2.28,2.22,2.27,4600,9.08
2014-11-19,2.27,2.29,2.24,2.27,5700,9.08
2014-11-18,2.30,2.30,2.26,2.29,8600,9.16
2014-11-17,2.22,2.33,2.22,2.28,6300,9.12
2014-11-14,2.28,2.29,2.18,2.25,10400,9.00
2014-11-13,2.25,2.35,2.23,2.27,13100,9.08
2014-11-12,2.20,2.25,2.10,2.18,7800,8.72
2014-11-11,2.24,2.30,2.18,2.25,4300,9.00
2014-11-10,2.25,2.25,2.15,2.24,11700,8.96
2014-11-07,2.25,2.25,2.09,2.19,21100,8.76
2014-11-06,2.27,2.30,2.20,2.28,13200,9.12
2014-11-05,2.32,2.36,2.19,2.23,3200,8.92
2014-11-04,2.38,2.38,2.28,2.34,11800,9.36
2014-11-03,2.40,2.40,2.30,2.39,11700,9.56
2014-10-31,2.39,2.40,2.36,2.40,21400,9.60
2014-10-30,2.40,2.40,2.35,2.36,6200,9.44
2014-10-29,2.35,2.40,2.30,2.39,17400,9.56
2014-10-28,2.27,2.35,2.23,2.35,10100,9.40
2014-10-27,2.28,2.29,2.22,2.25,14800,9.00
2014-10-24,2.24,2.30,2.21,2.27,27300,9.08
2014-10-23,2.20,2.24,2.16,2.24,19500,8.96
2014-10-22,2.21,2.24,2.05,2.17,21800,8.68
2014-10-21,2.25,2.30,2.00,2.20,46200,8.80
2014-10-20,2.10,2.15,2.06,2.14,19800,8.56
2014-10-17,2.10,2.11,1.96,2.11,24600,8.44
2014-10-16,2.06,2.10,1.88,2.10,13900,8.40
2014-10-15,2.06,2.10,1.86,2.06,12000,8.24
2014-10-14,2.08,2.08,2.00,2.07,5100,8.28
2014-10-13,2.09,2.11,2.01,2.05,11900,8.20
2014-10-10,2.09,2.10,1.97,2.10,10800,8.40
2014-10-09,2.05,2.10,2.00,2.10,19000,8.40
2014-10-08,2.07,2.07,2.02,2.05,2700,8.20
2014-10-07,2.07,2.10,2.07,2.09,16700,8.36
2014-10-06,2.04,2.08,1.97,2.08,10100,8.32
2014-10-03,2.00,2.05,2.00,2.05,6500,8.20
2014-10-02,1.97,2.02,1.88,1.99,7900,7.96
2014-10-01,2.03,2.09,1.91,2.00,4200,8.00
2014-09-30,2.05,2.09,1.99,2.00,2200,8.00
2014-09-29,1.92,2.05,1.85,2.03,18300,8.12
2014-09-26,1.92,1.95,1.88,1.95,6400,7.80
2014-09-25,1.89,1.94,1.88,1.94,4400,7.76
2014-09-24,1.90,1.95,1.86,1.91,3300,7.64
2014-09-23,1.91,1.95,1.85,1.95,13700,7.80
2014-09-22,1.90,1.97,1.82,1.95,21100,7.80
2014-09-19,1.95,1.96,1.82,1.96,15900,7.84
2014-09-18,1.95,1.95,1.85,1.93,13900,7.72
2014-09-17,1.90,1.90,1.79,1.90,20800,7.60
2014-09-16,1.81,1.84,1.71,1.83,19100,7.32
2014-09-15,1.67,1.95,1.65,1.76,47400,7.04
2014-09-12,1.44,1.69,1.44,1.65,18300,6.60
2014-09-11,1.37,1.49,1.31,1.48,39700,5.92
2014-09-10,1.25,1.37,1.23,1.37,14000,5.48
2014-09-09,1.30,1.37,1.15,1.28,42800,5.12
2014-09-08,1.48,1.48,1.24,1.37,51100,5.48
2014-09-05,1.52,1.58,1.37,1.48,38100,5.92
2014-09-04,1.70,1.70,1.48,1.57,11700,6.28
2014-09-03,1.80,1.81,1.57,1.70,14500,6.80
2014-09-02,1.85,1.87,1.79,1.80,4500,7.20
2014-08-29,1.90,1.93,1.85,1.89,5400,7.56
2014-08-28,1.92,1.98,1.85,1.92,7300,7.68
2014-08-27,1.98,1.98,1.87,1.88,6700,7.52
2014-08-26,1.97,2.01,1.95,1.95,3400,7.80
2014-08-25,2.00,2.05,1.93,2.00,8000,8.00
2014-08-22,2.00,2.00,1.91,1.95,3200,7.80
2014-08-21,2.02,2.02,1.93,2.00,6600,8.00
2014-08-20,1.96,1.98,1.91,1.98,3700,7.92
2014-08-19,1.87,1.98,1.87,1.91,400,7.64
2014-08-18,2.00,2.00,1.95,1.95,1400,7.80
2014-08-15,2.00,2.00,1.91,1.93,1800,7.72
2014-08-14,2.00,2.00,1.94,2.00,2700,8.00
2014-08-13,1.81,2.00,1.81,2.00,6400,8.00
2014-08-12,1.98,1.99,1.81,1.85,12200,7.40
2014-08-11,2.03,2.03,2.00,2.00,4500,8.00
2014-08-08,1.93,2.12,1.93,2.06,19500,8.24
2014-08-07,2.00,2.00,1.91,2.00,6200,8.00
2014-08-06,1.83,2.00,1.83,2.00,6600,8.00
2014-08-05,1.93,2.00,1.79,1.83,12300,7.32
2014-08-04,1.98,2.00,1.96,1.99,6300,7.96
2014-08-01,2.02,2.02,1.98,1.99,7200,7.96
2014-07-31,2.00,2.00,1.96,1.99,4600,7.96
2014-07-30,1.99,2.01,1.95,2.01,5700,8.04
2014-07-29,1.77,2.11,1.77,1.98,8700,7.92
2014-07-28,2.00,2.00,1.88,2.00,6500,8.00
2014-07-25,2.01,2.01,1.85,2.00,8200,8.00
2014-07-24,2.00,2.00,1.96,2.00,3800,8.00
2014-07-23,2.04,2.06,1.95,2.01,21100,8.04
2014-07-22,2.10,2.10,2.03,2.04,18900,8.16
2014-07-21,2.16,2.17,2.07,2.12,16000,8.48
2014-07-18,2.05,2.15,2.05,2.15,7500,8.60
2014-07-17,2.23,2.27,2.05,2.06,23300,8.24
2014-07-16,2.12,2.20,2.12,2.15,10400,8.60
2014-07-15,2.19,2.19,2.10,2.13,5100,8.52
2014-07-14,2.13,2.13,2.10,2.12,4800,8.48
2014-07-11,2.08,2.10,2.08,2.08,5100,8.32
2014-07-10,2.04,2.08,2.04,2.04,2800,8.16
2014-07-09,2.03,2.08,2.03,2.05,1400,8.20
2014-07-08,2.10,2.10,2.05,2.05,3400,8.20
2014-07-07,2.14,2.14,2.06,2.06,2200,8.24
2014-07-03,2.10,2.20,2.07,2.12,11500,8.48
2014-07-02,2.04,2.12,2.03,2.10,8300,8.40
2014-07-01,2.03,2.07,2.03,2.07,4200,8.28
2014-06-30,2.07,2.09,2.03,2.05,2500,8.20
2014-06-27,2.08,2.10,2.02,2.10,10700,8.40
2014-06-26,2.14,2.15,2.02,2.11,10700,8.44
2014-06-25,2.25,2.25,2.00,2.15,14600,8.60
2014-06-24,2.18,2.26,2.18,2.26,8700,9.04
2014-06-23,2.20,2.25,2.16,2.25,10100,9.00
2014-06-20,2.17,2.28,2.16,2.19,15300,8.76
2014-06-19,2.20,2.35,2.20,2.21,42000,8.84
2014-06-18,2.19,2.23,2.14,2.19,32900,8.76
2014-06-17,2.12,2.18,2.12,2.18,15300,8.72
2014-06-16,2.12,2.18,2.09,2.14,9400,8.56
2014-06-13,2.19,2.19,2.13,2.15,11300,8.60
2014-06-12,2.17,2.18,2.12,2.16,5300,8.64
2014-06-11,2.17,2.19,2.13,2.18,4400,8.72
2014-06-10,2.13,2.17,2.12,2.12,2600,8.48
2014-06-09,2.15,2.17,2.11,2.14,5600,8.56
2014-06-06,2.13,2.15,2.10,2.15,4700,8.60
2014-06-05,2.11,2.17,2.04,2.13,8700,8.52
2014-06-04,2.20,2.20,2.10,2.19,12200,8.76
2014-06-03,2.16,2.22,2.10,2.22,7000,8.88
2014-06-02,2.22,2.22,2.11,2.21,8800,8.84
2014-05-30,2.19,2.20,2.13,2.20,10500,8.80
2014-05-29,2.22,2.27,2.12,2.18,17200,8.72
2014-05-28,2.25,2.38,2.20,2.25,48800,9.00
2014-05-27,2.25,2.25,2.15,2.24,13900,8.96
2014-05-23,2.14,2.21,2.13,2.20,19000,8.80
2014-05-22,2.10,2.19,2.04,2.19,10700,8.76
2014-05-21,2.10,2.16,2.05,2.12,12400,8.48
2014-05-20,2.06,2.14,2.02,2.12,11700,8.48
2014-05-19,2.11,2.11,2.00,2.03,9900,8.12
2014-05-16,2.12,2.12,2.05,2.11,9600,8.44
2014-05-15,2.09,2.14,2.05,2.05,4400,8.20
2014-05-14,2.11,2.15,2.10,2.10,3700,8.40
2014-05-13,2.21,2.21,2.06,2.13,11000,8.52
2014-05-12,2.15,2.18,2.02,2.12,9300,8.48
2014-05-09,2.10,2.14,2.06,2.12,2900,8.48
2014-05-08,2.00,2.10,2.00,2.06,7000,8.24
2014-05-07,1.97,2.05,1.97,2.01,3300,8.04
2014-05-06,2.11,2.11,2.05,2.09,1700,8.36
2014-05-05,2.00,2.10,2.00,2.09,11000,8.36
2014-05-02,2.00,2.05,1.97,1.99,1900,7.96
2014-05-01,2.00,2.05,1.98,2.05,1800,8.20
2014-04-30,2.00,2.09,2.00,2.07,2000,8.28
2014-04-29,2.00,2.06,1.93,1.98,5600,7.92
2014-04-28,2.24,2.24,2.01,2.01,11000,8.04
2014-04-25,2.20,2.25,2.13,2.19,3100,8.76
2014-04-24,2.21,2.22,2.11,2.19,5600,8.76
2014-04-23,2.25,2.25,2.16,2.18,18700,8.72
2014-04-22,2.10,2.35,2.10,2.27,90800,9.08
2014-04-21,2.15,2.15,1.96,2.10,8300,8.40
2014-04-17,1.95,2.04,1.95,2.01,6100,8.04
2014-04-16,2.03,2.03,1.90,1.95,10500,7.80
2014-04-15,1.95,2.15,1.95,2.03,17700,8.12
2014-04-14,1.91,2.00,1.87,1.97,8600,7.88
2014-04-11,1.89,1.94,1.82,1.91,16300,7.64
2014-04-10,1.88,2.00,1.82,1.88,11200,7.52
2014-04-09,1.86,1.92,1.82,1.82,3100,7.28
2014-04-08,1.80,1.82,1.80,1.81,3900,7.24
2014-04-07,1.84,1.85,1.82,1.82,2300,7.28
2014-04-04,1.85,1.86,1.80,1.81,5400,7.24
2014-04-03,1.87,1.98,1.84,1.84,2100,7.36
2014-04-02,1.83,1.92,1.83,1.90,1900,7.60
2014-04-01,1.88,1.88,1.83,1.83,4300,7.32
2014-03-31,1.80,1.87,1.79,1.86,1700,7.44
2014-03-28,1.87,1.90,1.78,1.83,2900,7.32
2014-03-27,1.85,2.10,1.80,1.85,28900,7.40
2014-03-26,1.80,1.82,1.75,1.79,4400,7.16
2014-03-25,1.74,1.82,1.74,1.82,2900,7.28
2014-03-24,1.73,1.82,1.72,1.77,1600,7.08
2014-03-21,1.74,1.81,1.73,1.77,7100,7.08
2014-03-20,1.82,1.82,1.70,1.79,4400,7.16
2014-03-19,1.86,1.86,1.73,1.78,7600,7.12
2014-03-18,1.85,1.96,1.77,1.87,27300,7.48
2014-03-17,1.80,1.87,1.80,1.83,15600,7.32
2014-03-14,1.75,1.82,1.59,1.73,87400,6.92
2014-03-13,1.89,2.30,1.89,2.09,49300,8.36
2014-03-12,1.89,1.93,1.82,1.84,13600,7.36
2014-03-11,1.96,2.09,1.89,1.92,13100,7.68
2014-03-10,2.11,2.13,2.03,2.05,7300,8.20
2014-03-07,2.05,2.14,1.96,2.06,16400,8.24
2014-03-06,2.25,2.35,1.83,2.07,74500,8.28
2014-03-05,2.00,2.05,1.92,1.98,40700,7.92
2014-03-04,1.88,1.95,1.84,1.95,8700,7.80
2014-03-03,1.81,1.87,1.81,1.86,4200,7.44
2014-02-28,1.76,1.87,1.76,1.83,800,7.32
2014-02-27,1.88,1.88,1.83,1.83,3500,7.32
2014-02-26,1.82,1.88,1.82,1.86,4300,7.44
2014-02-25,1.72,1.81,1.72,1.81,2800,7.24
2014-02-24,1.70,1.78,1.70,1.77,2900,7.08
2014-02-21,1.73,1.73,1.66,1.70,700,6.80
2014-02-20,1.71,1.71,1.68,1.69,2900,6.76
2014-02-19,1.70,1.73,1.66,1.71,8900,6.84
2014-02-18,1.77,1.84,1.70,1.73,4300,6.92
2014-02-14,1.78,1.90,1.71,1.74,8600,6.96
2014-02-13,1.92,1.92,1.87,1.88,1300,7.52
2014-02-12,1.78,1.81,1.77,1.80,2700,7.20
2014-02-11,1.82,1.82,1.73,1.77,500,7.08
2014-02-10,1.67,1.82,1.67,1.75,11900,7.00
2014-02-07,1.86,1.87,1.67,1.68,16500,6.72
2014-02-06,1.89,1.90,1.86,1.86,2400,7.44
2014-02-05,1.92,1.95,1.89,1.93,5200,7.72
2014-02-04,1.93,1.96,1.92,1.96,2900,7.84
2014-02-03,1.96,1.96,1.92,1.93,3500,7.72
2014-01-31,1.94,1.99,1.94,1.95,2200,7.80
2014-01-30,1.95,2.00,1.94,1.98,3600,7.92
2014-01-29,2.05,2.05,1.95,1.96,5700,7.84
2014-01-28,1.97,2.07,1.97,2.03,3200,8.12
2014-01-27,1.98,2.00,1.98,2.00,4400,8.00
2014-01-24,1.98,2.05,1.95,1.98,5100,7.92
2014-01-23,2.03,2.07,1.93,2.01,16800,8.04
2014-01-22,2.03,2.09,2.02,2.07,9200,8.28
2014-01-21,2.01,2.14,2.01,2.05,28900,8.20
2014-01-17,2.03,2.12,2.01,2.06,14200,8.24
2014-01-16,2.02,2.09,2.02,2.06,3300,8.24
2014-01-15,2.03,2.13,2.03,2.06,10400,8.24
2014-01-14,2.07,2.14,2.05,2.08,5800,8.32
2014-01-13,2.11,2.14,2.10,2.14,4000,8.56
2014-01-10,2.03,2.18,2.02,2.15,18700,8.60
2014-01-09,2.11,2.15,2.02,2.06,15400,8.24
2014-01-08,2.09,2.19,2.09,2.15,4800,8.60
2014-01-07,2.19,2.20,2.05,2.18,14600,8.72
2014-01-06,2.16,2.24,2.09,2.13,5700,8.52
2014-01-03,2.10,2.22,1.87,2.17,52400,8.68
2014-01-02,2.26,2.28,2.03,2.13,21600,8.52
