Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1.00,1.19,0.90,1.11,62700,1.11
2012-12-28,1.22,1.35,1.18,1.23,35900,1.23
2012-12-27,1.40,1.40,1.22,1.22,15200,1.22
2012-12-26,1.35,1.35,1.18,1.35,15300,1.35
2012-12-24,1.40,1.50,1.27,1.27,44600,1.27
2012-12-21,1.10,1.40,1.10,1.40,63900,1.40
2012-12-20,1.10,1.19,1.06,1.11,22700,1.11
2012-12-19,1.04,1.13,1.04,1.06,5900,1.06
2012-12-18,1.09,1.12,1.00,1.04,5100,1.04
2012-12-17,1.02,1.15,0.95,1.03,14000,1.03
2012-12-14,1.02,1.14,0.95,0.95,50200,0.95
2012-12-13,1.01,1.14,1.01,1.04,10400,1.04
2012-12-12,1.05,1.14,1.03,1.03,7000,1.03
2012-12-11,1.00,1.16,1.00,1.03,13200,1.03
2012-12-10,1.20,1.20,1.00,1.01,30600,1.01
2012-12-07,1.16,1.25,1.11,1.12,37200,1.12
2012-12-06,1.17,1.18,1.02,1.09,27200,1.09
2012-12-05,1.04,1.15,1.01,1.01,13000,1.01
2012-12-04,1.16,1.22,1.00,1.01,26400,1.01
2012-12-03,0.93,1.13,0.93,1.09,67500,1.09
2012-11-30,1.00,1.22,0.92,0.93,4100,0.93
2012-11-29,1.01,1.01,0.92,0.93,16900,0.93
2012-11-28,1.00,1.10,1.00,1.02,13000,1.02
2012-11-27,1.00,1.03,0.93,0.99,7500,0.99
2012-11-26,1.00,1.06,1.00,1.04,16600,1.04
2012-11-23,1.00,1.12,0.92,1.01,6300,1.01
2012-11-21,0.94,1.15,0.87,1.00,29700,1.00
2012-11-20,1.01,1.01,0.85,0.96,11700,0.96
2012-11-19,1.00,1.01,0.89,1.00,17300,1.00
2012-11-16,0.94,0.98,0.94,0.98,7800,0.98
2012-11-15,0.84,0.90,0.84,0.90,4000,0.90
2012-11-14,0.84,0.95,0.84,0.90,36200,0.90
2012-11-13,0.90,0.90,0.81,0.81,1600,0.81
2012-11-12,0.84,1.01,0.84,0.96,24600,0.96
2012-11-09,0.75,1.05,0.58,0.84,52800,0.84
2012-11-08,0.67,0.75,0.67,0.70,8100,0.70
2012-11-07,0.75,0.85,0.63,0.63,31700,0.63
2012-11-06,0.80,0.85,0.75,0.75,10000,0.75
2012-11-05,0.81,0.85,0.75,0.75,25700,0.75
2012-11-02,0.81,0.85,0.81,0.81,9400,0.81
2012-11-01,0.91,0.94,0.76,0.76,21900,0.76
2012-10-31,0.89,0.93,0.86,0.91,49000,0.91
2012-10-26,0.95,0.95,0.90,0.90,10800,0.90
2012-10-25,0.95,0.95,0.94,0.94,10000,0.94
2012-10-24,0.94,1.00,0.94,0.94,6800,0.94
2012-10-23,0.97,1.03,0.94,0.94,10600,0.94
