Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,46.900002,46.959999,46.419998,46.790001,371900,46.790001
2012-12-28,48.099998,48.669998,46.98,47.00,250000,47.00
2012-12-27,48.209999,48.740002,47.82,48.41,156700,48.41
2012-12-26,48.950001,49.07,47.970001,48.290001,130700,48.290001
2012-12-24,48.990002,49.07,48.439999,48.990002,41000,48.990002
2012-12-21,49.130001,49.200001,48.389999,49.099998,370400,49.099998
2012-12-20,49.25,49.720001,48.639999,49.380001,167600,49.380001
2012-12-19,49.209999,49.759998,48.869999,49.330002,179600,49.330002
2012-12-18,48.93,50.040001,48.700001,49.52,203800,49.52
2012-12-17,48.790001,49.439999,48.369999,49.00,135900,49.00
2012-12-14,48.599998,49.130001,48.389999,48.610001,64200,48.610001
2012-12-13,48.810001,49.34,48.23,48.77,149300,48.77
2012-12-12,49.380001,49.380001,48.389999,48.91,134400,48.91
2012-12-11,48.66,49.75,48.290001,49.119999,182900,49.119999
2012-12-10,48.57,49.049999,48.080002,48.349998,236200,48.349998
2012-12-07,47.919998,48.959999,47.889999,48.650002,192500,48.650002
2012-12-06,46.82,47.650002,46.59,47.369999,158400,47.369999
2012-12-05,45.93,47.200001,45.93,46.990002,348700,46.990002
2012-12-04,45.369999,45.98,44.790001,45.91,197800,45.91
2012-12-03,45.380001,45.450001,44.599998,45.27,134600,45.27
2012-11-30,45.00,45.48,44.610001,45.25,212100,45.25
2012-11-29,44.07,45.240002,43.959999,44.959999,150800,44.959999
2012-11-28,43.950001,44.32,43.66,44.299999,225500,44.299999
2012-11-27,43.369999,44.09,43.09,43.990002,194400,43.990002
2012-11-26,43.619999,43.869999,42.93,43.27,210000,43.27
2012-11-23,43.560001,43.650002,43.099998,43.59,62100,43.59
2012-11-21,43.23,43.459999,42.720001,43.349998,138100,43.349998
2012-11-20,43.540001,43.75,42.830002,43.130001,220800,43.130001
2012-11-19,44.080002,44.360001,43.110001,43.68,259900,43.68
2012-11-16,44.669998,45.290001,43.16,43.68,201300,43.68
2012-11-15,45.290001,45.310001,44.509998,44.84,151000,44.84
2012-11-14,46.790001,46.790001,45.099998,45.189999,81300,45.189999
2012-11-13,45.709999,46.849998,45.599998,46.580002,254700,46.580002
2012-11-12,45.650002,46.459999,44.59,46.00,179600,46.00
2012-11-09,46.00,46.209999,45.099998,45.459999,704000,45.459999
2012-11-08,47.16,47.639999,46.23,46.23,142800,46.23
2012-11-07,48.00,48.799999,47.23,47.259998,170600,47.259998
2012-11-06,48.77,48.970001,47.919998,48.400002,129700,48.400002
2012-11-05,49.040001,49.299999,48.220001,48.740002,180900,48.740002
2012-11-02,47.959999,49.240002,47.41,48.900002,191400,48.900002
2012-11-01,47.630001,49.639999,47.549999,47.689999,227700,47.689999
2012-10-31,46.200001,47.529999,45.029999,47.50,179800,47.50
2012-10-26,46.950001,46.950001,45.830002,46.23,62800,46.23
2012-10-25,46.48,46.900002,46.259998,46.900002,61400,46.900002
2012-10-24,46.389999,46.880001,46.009998,46.330002,45000,46.330002
2012-10-23,45.889999,46.529999,45.540001,46.349998,84600,46.349998
2012-10-22,46.950001,46.950001,45.68,46.150002,101400,46.150002
2012-10-19,48.52,48.810001,46.880001,47.029999,145600,47.029999
2012-10-18,48.360001,48.919998,48.00,48.66,88900,48.66
2012-10-17,48.700001,48.740002,47.349998,48.490002,159700,48.490002
2012-10-16,48.599998,48.700001,48.029999,48.490002,68200,48.490002
2012-10-15,47.810001,48.32,47.259998,48.25,119100,48.25
2012-10-12,47.200001,48.299999,47.200001,48.07,97500,48.07
2012-10-11,47.91,48.18,46.759998,47.110001,137200,47.110001
2012-10-10,47.68,48.459999,47.43,47.68,178000,47.68
2012-10-09,47.599998,47.75,47.009998,47.57,78200,47.57
