Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.94,12.99,12.40,12.50,141300,10.057853
2014-12-30,12.72,12.98,12.65,12.83,90600,10.32338
2014-12-29,12.66,12.83,12.20,12.78,73800,10.283149
2014-12-26,12.50,12.77,12.35,12.74,51500,10.250964
2014-12-24,12.95,12.95,12.17,12.95,36500,10.146362
2014-12-23,12.78,13.00,12.27,13.00,46200,10.185537
2014-12-22,12.81,12.81,12.55,12.78,41900,10.013167
2014-12-19,11.99,12.72,11.989,12.60,106600,9.872137
2014-12-18,11.65,12.15,11.65,11.89,68000,9.315849
2014-12-17,11.40,11.60,11.40,11.50,92600,9.010283
2014-12-16,11.60,11.64,11.20,11.54,117700,9.041623
2014-12-15,11.55,11.75,11.55,11.61,86500,9.096468
2014-12-12,11.94,11.99,11.41,11.50,77700,9.010283
2014-12-11,12.05,12.20,11.86,11.96,51200,9.370694
2014-12-10,12.09,12.14,12.06,12.08,58400,9.464715
2014-12-09,12.38,12.51,12.06,12.12,84800,9.496055
2014-12-08,12.59,12.84,12.36,12.40,30300,9.715435
2014-12-05,12.57,12.69,12.50,12.53,32100,9.817291
2014-12-04,12.72,12.78,12.50,12.60,49200,9.872137
2014-12-03,12.77,12.85,12.65,12.65,32100,9.911311
2014-12-02,13.01,13.01,12.75,12.84,11900,10.060177
2014-12-01,12.92,12.989,12.75,12.96,40600,10.154197
2014-11-28,12.94,13.03,12.94,13.01,2000,10.193373
2014-11-26,13.05,13.15,12.83,12.98,41600,10.169867
2014-11-25,12.82,13.04,12.80,13.01,51200,10.193373
2014-11-24,12.75,12.85,12.66,12.82,54600,10.044507
2014-11-21,12.73,12.88,12.66,12.76,50000,9.997497
2014-11-20,12.46,12.74,12.46,12.65,37800,9.911311
2014-11-19,12.61,12.70,12.45,12.46,32900,9.762446
2014-11-18,12.69,12.92,12.61,12.61,36400,9.879971
2014-11-17,12.79,12.89,12.65,12.75,39400,9.989662
2014-11-14,12.73,12.91,12.73,12.85,35900,10.068012
2014-11-13,13.09,13.20,12.81,12.81,75700,10.036672
2014-11-12,12.90,13.20,12.85,13.09,69900,10.256053
2014-11-11,13.36,13.36,12.806,12.82,92600,10.044507
2014-11-10,12.80,12.82,12.66,12.79,47300,10.021002
2014-11-07,13.04,13.04,12.62,12.75,65900,9.989662
2014-11-06,12.92,13.027,12.63,12.99,26700,10.177702
2014-11-05,13.12,13.49,12.872,12.96,14500,10.154197
2014-11-04,12.91,13.06,12.71,13.06,22000,10.232548
2014-11-03,13.38,13.38,12.78,12.98,37300,10.169867
2014-10-31,12.81,13.50,12.64,13.33,30100,10.444093
2014-10-30,12.47,12.68,12.35,12.66,32100,9.919146
2014-10-29,12.58,12.88,12.412,12.49,54500,9.785951
2014-10-28,12.67,12.70,12.47,12.58,23200,9.856466
2014-10-27,12.65,12.79,12.38,12.70,16400,9.950486
2014-10-24,12.72,12.75,12.601,12.71,20200,9.958322
2014-10-23,12.49,12.887,12.403,12.79,53100,10.021002
2014-10-22,12.388,12.61,12.26,12.50,63000,9.793786
2014-10-21,12.35,12.45,12.06,12.34,29600,9.668426
2014-10-20,12.39,12.588,12.23,12.45,35900,9.754611
2014-10-17,12.31,12.918,12.08,12.32,34100,9.652755
2014-10-16,11.97,12.50,11.86,12.49,60600,9.785951
2014-10-15,12.20,13.28,12.01,12.10,69200,9.480385
2014-10-14,12.67,12.79,12.06,12.32,87500,9.652755
2014-10-13,12.73,12.85,12.60,12.63,17500,9.895641
2014-10-10,12.66,12.74,12.56,12.67,18000,9.926982
2014-10-09,12.87,12.931,12.45,12.74,58900,9.981826
2014-10-08,12.94,13.13,12.70,13.13,37500,10.287393
2014-10-07,12.85,12.92,12.63,12.91,37500,10.115022
2014-10-06,13.26,13.26,12.82,12.89,36100,10.099352
2014-10-03,12.51,13.28,12.51,13.08,82500,10.248218
2014-10-02,13.25,13.50,13.069,13.31,38700,10.428424
2014-10-01,13.20,13.369,12.59,13.34,45900,10.451928
2014-09-30,12.80,13.28,12.40,13.28,184700,10.404918
2014-09-29,13.20,13.24,12.84,12.84,57500,10.060177
2014-09-26,13.30,13.30,12.68,13.26,86800,10.389248
2014-09-25,13.61,13.75,13.50,13.54,30700,10.342237
2014-09-24,13.67,13.75,13.57,13.70,43700,10.46445
2014-09-23,13.55,13.75,13.426,13.60,27200,10.388067
2014-09-22,13.85,13.94,13.60,13.62,28400,10.403343
2014-09-19,13.86,13.93,13.56,13.71,30100,10.472088
2014-09-18,13.48,13.876,13.48,13.80,39500,10.540833
2014-09-17,13.61,13.84,13.51,13.53,40500,10.334599
2014-09-16,13.64,13.94,13.58,13.58,36000,10.37279
2014-09-15,13.75,13.92,13.58,13.61,39400,10.395705
2014-09-12,13.80,13.91,13.70,13.81,77800,10.548471
2014-09-11,13.718,13.90,13.718,13.85,30000,10.579024
2014-09-10,13.75,13.93,13.70,13.84,36700,10.571386
2014-09-09,13.72,13.96,13.60,13.75,46300,10.502641
2014-09-08,13.80,13.87,13.63,13.70,32200,10.46445
2014-09-05,13.60,13.88,13.60,13.79,23700,10.533194
2014-09-04,13.50,13.85,13.451,13.66,88400,10.433897
2014-09-03,13.63,13.88,13.63,13.77,60900,10.517918
2014-09-02,13.70,13.981,13.68,13.785,40600,10.529375
2014-08-29,13.53,13.70,13.33,13.68,44400,10.449174
2014-08-28,13.58,13.62,13.26,13.49,88200,10.304046
2014-08-27,13.63,13.70,13.40,13.42,32700,10.250578
2014-08-26,13.37,13.70,13.30,13.599,40800,10.387303
2014-08-25,13.20,13.50,13.20,13.40,82000,10.235301
2014-08-22,13.21,13.45,13.21,13.35,47200,10.19711
2014-08-21,13.31,13.45,13.30,13.39,64700,10.227663
2014-08-20,13.47,13.47,13.104,13.27,62100,10.136004
2014-08-19,13.39,13.579,13.26,13.481,95200,10.297171
