Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,0.23,0.25,0.23,0.25,2400,12.50
2013-12-30,0.23,0.26,0.23,0.25,1400,12.50
2013-12-27,0.23,0.26,0.22,0.26,900,13.00
2013-12-26,0.24,0.24,0.23,0.23,500,11.50
2013-12-24,0.23,0.25,0.21,0.24,1800,12.00
2013-12-23,0.25,0.26,0.23,0.26,1600,13.00
2013-12-20,0.26,0.26,0.24,0.25,500,12.50
2013-12-19,0.25,0.27,0.24,0.27,400,13.50
2013-12-18,0.25,0.27,0.25,0.27,500,13.50
2013-12-17,0.26,0.28,0.24,0.27,2400,13.50
2013-12-16,0.28,0.28,0.26,0.28,400,14.00
2013-12-13,0.27,0.27,0.27,0.27,600,13.50
2013-12-12,0.26,0.29,0.26,0.29,2000,14.50
2013-12-11,0.26,0.28,0.26,0.26,500,13.00
2013-12-10,0.26,0.29,0.25,0.28,1800,14.00
2013-12-09,0.26,0.29,0.26,0.29,1300,14.50
2013-12-06,0.25,0.26,0.25,0.26,300,13.00
2013-12-05,0.27,0.27,0.25,0.27,2100,13.50
2013-12-04,0.25,0.27,0.25,0.27,300,13.50
2013-12-03,0.26,0.28,0.25,0.27,1700,13.50
2013-12-02,0.30,0.30,0.26,0.30,400,15.00
2013-11-29,0.29,0.30,0.29,0.30,1000,15.00
2013-11-27,0.26,0.29,0.26,0.29,900,14.50
2013-11-26,0.28,0.30,0.25,0.30,1200,15.00
2013-11-25,0.29,0.30,0.27,0.30,900,15.00
2013-11-22,0.29,0.30,0.28,0.30,4400,15.00
2013-11-21,0.30,0.30,0.28,0.30,200,15.00
2013-11-20,0.30,0.30,0.28,0.30,700,15.00
2013-11-19,0.30,0.32,0.29,0.30,100,15.00
2013-11-18,0.28,0.32,0.28,0.32,1300,16.00
2013-11-15,0.32,0.32,0.29,0.30,1200,15.00
2013-11-14,0.32,0.32,0.30,0.32,300,16.00
2013-11-13,0.32,0.32,0.30,0.32,700,16.00
2013-11-12,0.32,0.32,0.30,0.32,400,16.00
2013-11-11,0.33,0.33,0.31,0.33,000,16.50
2013-11-08,0.30,0.33,0.30,0.33,1700,16.50
2013-11-07,0.30,0.32,0.30,0.32,200,16.00
2013-11-06,0.31,0.33,0.30,0.33,1600,16.50
2013-11-05,0.32,0.34,0.32,0.34,1300,17.00
2013-11-04,0.31,0.34,0.31,0.33,600,16.50
2013-11-01,0.32,0.34,0.30,0.34,1200,17.00
2013-10-31,0.32,0.32,0.30,0.32,800,16.00
2013-10-30,0.32,0.35,0.32,0.35,000,17.50
2013-10-29,0.33,0.35,0.31,0.35,1300,17.50
2013-10-28,0.32,0.33,0.32,0.33,300,16.50
2013-10-25,0.34,0.34,0.32,0.33,100,16.50
2013-10-24,0.33,0.34,0.32,0.34,1100,17.00
2013-10-23,0.35,0.35,0.33,0.34,1000,17.00
2013-10-22,0.34,0.38,0.33,0.35,1600,17.50
2013-10-21,0.34,0.37,0.34,0.34,300,17.00
2013-10-18,0.38,0.38,0.34,0.35,900,17.50
2013-10-17,0.39,0.39,0.34,0.38,1000,19.00
2013-10-16,0.35,0.39,0.35,0.39,700,19.50
2013-10-15,0.39,0.39,0.38,0.38,200,19.00
2013-10-14,0.39,0.42,0.38,0.39,800,19.50
2013-10-11,0.34,0.40,0.34,0.39,1700,19.50
2013-10-10,0.36,0.40,0.34,0.39,600,19.50
2013-10-09,0.36,0.39,0.36,0.36,000,18.00
2013-10-08,0.38,0.40,0.35,0.39,100,19.50
2013-10-07,0.40,0.40,0.33,0.38,2000,19.00
2013-10-04,0.37,0.40,0.37,0.40,400,20.00
2013-10-03,0.36,0.40,0.36,0.39,500,19.50
2013-10-02,0.39,0.39,0.35,0.36,800,18.00
2013-10-01,0.40,0.43,0.39,0.42,800,21.00
2013-09-30,0.39,0.45,0.37,0.45,700,22.499999
2013-09-27,0.46,0.46,0.36,0.36,500,18.00
2013-09-26,0.36,0.45,0.34,0.45,1600,22.499999
2013-09-25,0.40,0.40,0.34,0.38,700,19.00
2013-09-24,0.47,0.47,0.35,0.40,1800,20.00
2013-09-23,0.40,0.47,0.37,0.39,2400,19.50
2013-09-20,0.40,0.44,0.39,0.41,2200,20.50
2013-09-19,0.38,0.42,0.38,0.41,1800,20.50
2013-09-18,0.33,0.40,0.33,0.40,100,20.00
2013-09-17,0.40,0.40,0.34,0.35,500,17.50
2013-09-16,0.37,0.38,0.33,0.33,1800,16.50
2013-09-13,0.37,0.37,0.33,0.36,2300,18.00
2013-09-12,0.32,0.38,0.32,0.38,1400,19.00
2013-09-11,0.35,0.37,0.35,0.37,300,18.50
2013-09-10,0.36,0.38,0.33,0.38,1200,19.00
2013-09-09,0.38,0.41,0.33,0.37,500,18.50
2013-09-06,0.37,0.40,0.37,0.40,1000,20.00
2013-09-05,0.37,0.39,0.35,0.39,500,19.50
2013-09-04,0.36,0.37,0.34,0.37,1100,18.50
2013-09-03,0.34,0.36,0.34,0.36,600,18.00
2013-08-30,0.32,0.32,0.32,0.32,000,16.00
2013-08-29,0.34,0.34,0.33,0.34,400,17.00
2013-08-28,0.32,0.34,0.32,0.34,200,17.00
2013-08-27,0.36,0.36,0.32,0.34,100,17.00
2013-08-26,0.33,0.35,0.30,0.33,2600,16.50
2013-08-23,0.34,0.34,0.30,0.33,500,16.50
2013-08-22,0.34,0.34,0.34,0.34,100,17.00
2013-08-21,0.34,0.34,0.34,0.34,100,17.00
2013-08-20,0.36,0.36,0.33,0.33,100,16.50
2013-08-19,0.33,0.36,0.33,0.36,100,18.00
2013-08-16,0.39,0.39,0.37,0.37,600,18.50
2013-08-15,0.36,0.39,0.32,0.39,800,19.50
2013-08-14,0.41,0.41,0.36,0.41,200,20.50
2013-08-13,0.42,0.42,0.36,0.41,100,20.50
2013-08-12,0.37,0.44,0.36,0.42,100,21.00
2013-08-09,0.43,0.44,0.37,0.44,300,22.00
2013-08-08,0.40,0.43,0.36,0.43,700,21.50
2013-08-07,0.45,0.45,0.38,0.42,600,21.00
2013-08-06,0.46,0.46,0.46,0.46,000,22.999999
2013-08-05,0.45,0.46,0.39,0.46,100,22.999999
2013-08-02,0.43,0.43,0.43,0.43,400,21.50
2013-08-01,0.40,0.44,0.35,0.43,600,21.50
2013-07-31,0.30,0.43,0.30,0.40,400,20.00
2013-07-30,0.38,0.40,0.37,0.37,600,18.50
2013-07-29,0.39,0.39,0.38,0.38,200,19.00
2013-07-26,0.46,0.46,0.39,0.40,100,20.00
2013-07-25,0.38,0.46,0.38,0.46,000,22.999999
2013-07-24,0.40,0.40,0.38,0.38,300,19.00
2013-07-23,0.40,0.40,0.39,0.40,400,20.00
2013-07-22,0.40,0.40,0.39,0.40,200,20.00
2013-07-19,0.40,0.42,0.39,0.42,800,21.00
2013-07-18,0.45,0.47,0.40,0.44,900,22.00
2013-07-17,0.40,0.43,0.38,0.43,1500,21.50
2013-07-16,0.41,0.41,0.41,0.41,600,20.50
2013-07-15,0.45,0.45,0.41,0.45,200,22.499999
2013-07-12,0.42,0.45,0.42,0.45,300,22.499999
2013-07-11,0.43,0.43,0.43,0.43,300,21.50
2013-07-10,0.45,0.45,0.45,0.45,200,22.499999
2013-07-09,0.43,0.45,0.43,0.45,400,22.499999
2013-07-08,0.43,0.50,0.42,0.50,900,24.999999
2013-07-05,0.42,0.51,0.42,0.50,200,24.999999
2013-07-03,0.51,0.51,0.44,0.44,600,22.00
2013-07-02,0.47,0.50,0.47,0.50,600,24.999999
2013-07-01,0.48,0.48,0.48,0.48,100,23.999999
2013-06-28,0.48,0.48,0.48,0.48,000,23.999999
2013-06-27,0.48,0.48,0.43,0.48,000,23.999999
2013-06-26,0.49,0.49,0.43,0.48,400,23.999999
2013-06-25,0.44,0.49,0.44,0.48,600,23.999999
2013-06-24,0.44,0.44,0.43,0.43,200,21.50
2013-06-21,0.44,0.48,0.44,0.48,000,23.999999
2013-06-20,0.50,0.50,0.42,0.48,800,23.999999
2013-06-19,0.50,0.50,0.50,0.50,800,24.999999
2013-06-18,0.46,0.50,0.46,0.50,900,24.999999
2013-06-17,0.46,0.50,0.46,0.50,800,24.999999
2013-06-14,0.47,0.50,0.46,0.50,300,24.999999
2013-06-13,0.51,0.53,0.45,0.47,500,23.499999
2013-06-12,0.53,0.53,0.51,0.51,000,25.499999
2013-06-11,0.53,0.53,0.44,0.53,300,26.499999
2013-06-10,0.51,0.56,0.47,0.53,2100,26.499999
2013-06-07,0.46,0.53,0.44,0.52,700,25.999999
2013-06-06,0.53,0.54,0.53,0.54,500,26.999999
2013-06-05,0.48,0.52,0.48,0.52,200,25.999999
2013-06-04,0.50,0.54,0.48,0.54,400,26.999999
2013-06-03,0.50,0.50,0.47,0.49,400,24.499999
2013-05-31,0.50,0.55,0.50,0.50,500,24.999999
2013-05-30,0.46,0.50,0.46,0.50,200,24.999999
2013-05-29,0.46,0.46,0.46,0.46,000,22.999999
2013-05-28,0.46,0.53,0.46,0.53,000,26.499999
2013-05-24,0.52,0.55,0.48,0.53,200,26.499999
2013-05-23,0.50,0.52,0.45,0.52,500,25.999999
2013-05-22,0.46,0.50,0.43,0.50,3600,24.999999
2013-05-21,0.51,0.52,0.45,0.45,500,22.499999
2013-05-20,0.42,0.52,0.42,0.52,200,25.999999
2013-05-17,0.47,0.52,0.45,0.52,800,25.999999
2013-05-16,0.41,0.47,0.41,0.47,1300,23.499999
2013-05-15,0.46,0.46,0.44,0.45,100,22.499999
